date,category,region,post_count
2026-05-29,domestic_travel,용산,1
2026-05-29,domestic_travel,을지로,2
2026-05-29,domestic_travel,의정부,1
2026-05-29,domestic_travel,인천,7
2026-05-29,domestic_travel,일산,1
2026-05-29,domestic_travel,잠실,3
2026-05-29,domestic_travel,전주,1
2026-05-29,domestic_travel,정자,1
2026-05-29,domestic_travel,제주,1
2026-05-29,domestic_travel,종로,3
2026-05-29,domestic_travel,천호,1
2026-05-29,domestic_travel,청담,1
2026-05-29,domestic_travel,춘천,5
2026-05-29,domestic_travel,코엑스,1
2026-05-29,domestic_travel,파주,3
2026-05-29,domestic_travel,판교,1
2026-05-29,domestic_travel,합정,2
2026-05-29,domestic_travel,혜화,1
2026-05-29,domestic_travel,홍대,4
2026-05-29,food,가평,10
2026-05-29,food,강남,6
2026-05-29,food,강동,2
2026-05-29,food,강릉,1
2026-05-29,food,건대,1
2026-05-29,food,경주,1
2026-05-29,food,고양,2
2026-05-29,food,공덕,1
2026-05-29,food,광주,3
2026-05-29,food,광화문,2
2026-05-29,food,김포,2
2026-05-29,food,남양주,2
2026-05-29,food,대구,6
2026-05-29,food,대전,1
2026-05-29,food,대학로,1
2026-05-29,food,더현대서울,4
2026-05-29,food,동대문,2
2026-05-29,food,뚝섬,3
2026-05-29,food,마곡,1
2026-05-29,food,마포,5
2026-05-29,food,망원,1
2026-05-29,food,명동,1
2026-05-29,food,문래,2
2026-05-29,food,방배,1
2026-05-29,food,부산,5
2026-05-29,food,부천,1
2026-05-29,food,북촌,3
2026-05-29,food,분당,1
2026-05-29,food,삼성,1
2026-05-29,food,상수,2
2026-05-29,food,서초,2
2026-05-29,food,서촌,1
2026-05-29,food,석촌,1
2026-05-29,food,선릉,1
2026-05-29,food,성수,1
2026-05-29,food,속초,2
2026-05-29,food,송파,3
2026-05-29,food,수원,2
2026-05-29,food,시청,1
2026-05-29,food,신촌,1
2026-05-29,food,안국,1
2026-05-29,food,압구정,1
2026-05-29,food,양평,4
2026-05-29,food,여수,1
2026-05-29,food,여의도,6
2026-05-29,food,역삼,1
2026-05-29,food,연남동,4
2026-05-29,food,용산,1
2026-05-29,food,을지로,4
2026-05-29,food,의정부,1
2026-05-29,food,인천,3
2026-05-29,food,일산,2
2026-05-29,food,잠실,3
2026-05-29,food,전주,1
2026-05-29,food,제주,1
2026-05-29,food,종로,9
2026-05-29,food,천호,1
2026-05-29,food,청담,1
2026-05-29,food,춘천,2
2026-05-29,food,파주,3
2026-05-29,food,합정,3
2026-05-29,food,혜화,2
2026-05-29,food,홍대,6
2026-05-30,domestic_travel,가로수길,1
2026-05-30,domestic_travel,가평,22
2026-05-30,domestic_travel,강남,11
2026-05-30,domestic_travel,강동,2
2026-05-30,domestic_travel,강릉,4
2026-05-30,domestic_travel,건대,2
2026-05-30,domestic_travel,경주,8
2026-05-30,domestic_travel,고양,2
2026-05-30,domestic_travel,공덕,1
2026-05-30,domestic_travel,과천,1
