category,region,candidate_name,candidate_type,blog_post_count,query,attempted_queries,matched_query,match_status,match_type,match_score,naver_place_title,naver_place_category,naver_place_description,address,roadAddress,mapx,mapy,naver_place_link,sample_titles,sample_links
domestic_travel,강릉,중앙시장,travel_spot,7,강릉 중앙시장,강릉 중앙시장,강릉 중앙시장,verified,exact_place,90,중앙시장,"쇼핑,유통>시장",,강원특별자치도 강릉시 성남동 50,강원특별자치도 강릉시 금성로 21,1288983903,377535620,http://www.gnmarket.or.kr/gnmarket/index.php,"강릉감자닭강정 중앙시장 포장 후기 강릉 맛집 추천|4월 강릉여행|강릉 핫플 레이스, 중앙시장... 난 강릉중앙시장 찐 핫플 탐방기|갤러리밥스부터 툇마루까지, 아이랑 강릉 2박 3일 핫플 여행|강릉 맛집 중앙시장 맛집 인생물회 육회물회 컵물회",https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332|https://blog.naver.com/gmlwjd2829/224301720312|https://blog.naver.com/57136/224301829140
food,광주,연화식당,restaurant,5,광주 연화식당,광주 연화식당,광주 연화식당,verified,exact_place,90,연화식당,"한식>육류,고기요리",,광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,,"전현무계획 광주 연화식당 예약 주차 혼밥 육전 맛집 위치 총정리|광주 연화식당 가기 전 필독: 육전·룸·방송 소문까지 한 번에...|전현무계획3 광주 육전 맛집 연화식당 위치 가격 주차 팁 총정리|광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/overthesense/224301637298|https://blog.naver.com/e150934/224301848407|https://blog.naver.com/tornadoofsoul/224301770965|https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
domestic_travel,가평,봄꽃축제,attraction,4,가평 봄꽃축제,가평 봄꽃축제,가평 봄꽃축제,verified,exact_place,90,아침고요수목원 봄나들이 봄꽃축제,"여행,명소>꽃축제",,경기도 가평군 상면 임초리 629-13,,1273521916,377425540,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=989991,2026 자라섬 꽃페스타 가평 꽃축제 후기 (입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때|이번 주말 놓치면 1년을 후회합니다! 2026 자라섬 꽃 페스타...,https://blog.naver.com/mmmmbin/224300575415|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/kyju6507/224297372051|https://blog.naver.com/kebaake/224301775851
food,종로,광장시장,travel_spot,3,종로 광장시장,종로 광장시장 | 광장시장,광장시장,verified,exact_place,90,광장시장,"쇼핑,유통>시장",,서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,1269990691,375701661,http://kwangjangmarket.co.kr/,"광장시장 자매육회집 육회비빕밥 후기|광장시장 맛집 전라도횟집 내돈내산 후기｜모둠회 2인 25...|광장시장 먹거리 투어 후기, 줄 서서 먹은 맛집 4곳",https://blog.naver.com/veritavitia/224301838148|https://blog.naver.com/oburi-/224301407518|https://blog.naver.com/yellowbabo/224301203451
food,대구,서문시장,travel_spot,3,대구 서문시장,대구 서문시장,대구 서문시장,verified,exact_place,90,서문시장,"쇼핑,유통>시장",,대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,"[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|[글쓰기] 260503 : 대구 여행 1일차 / 서문시장, 동성로...",https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/kkokkorun/224301643583
domestic_travel,대구,서문시장,travel_spot,3,대구 서문시장,대구 서문시장,대구 서문시장,verified,exact_place,90,서문시장,"쇼핑,유통>시장",,대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,"[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|[글쓰기] 260503 : 대구 여행 1일차 / 서문시장, 동성로...",https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/kkokkorun/224301643583
domestic_travel,가평,고고다이노 키즈호텔,travel_spot,2,가평 고고다이노 키즈호텔,가평 고고다이노 키즈호텔,가평 고고다이노 키즈호텔,verified,exact_place,90,고고다이노 키즈호텔,숙박>펜션,,경기도 가평군 설악면 사룡리 595-3 고고다이노 키즈호텔,경기도 가평군 설악면 자잠로 229 고고다이노 키즈호텔,1274881086,376944931,http://gogodinokids-hotel.kr/,서울근교 여행 가평 고고다이노 키즈호텔 특가 예약(테마룸...|고고다이노 키즈호텔 첫 단독 특가 52% 할인 32 → 14만...,https://blog.naver.com/shy0917cjh/224300583214|https://blog.naver.com/bean_urse/224298476039
food,수원,광교호수공원,travel_spot,2,수원 광교호수공원,수원 광교호수공원,수원 광교호수공원,verified,exact_place,90,광교호수공원,"여행,명소>도시,테마공원",,경기도 수원시 영통구 하동 1026-1,경기도 수원시 영통구 광교호수로 165,1270696711,372826146,http://www.gglakepark.or.kr/,"광교 호수공원 맛집 청년감자탕순대국 묵은지감자탕 후기|광교 법조타운 맛집 , 야끼토리잔잔 광교점 후기!",https://blog.naver.com/domdobu/224301759569|https://blog.naver.com/smile085/224301833775
food,대구,단골식당,restaurant,2,대구 단골식당,대구 단골식당,대구 단골식당,verified,exact_place,90,단골식당 연탄돼지불고기,음식점>한식,,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
domestic_travel,대구,단골식당,restaurant,2,대구 단골식당,대구 단골식당,대구 단골식당,verified,exact_place,90,단골식당 연탄돼지불고기,음식점>한식,,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
