post_id,inferred_category,confidence,matched_keywords
61f4a4f18959a9f0,food,1.00,맛집|식당|저녁|디저트
447be02ee7c03f16,food,0.50,맛집|저녁
d817296f11e6955d,food,0.75,맛집|식당|저녁
ebe832cfcb8da93b,food,0.63,맛집|저녁|방문
3ed91a1609755393,food,0.50,맛집|저녁
3ed91a1609755393,domestic_travel,0.25,숙소
b754d268b1f0a780,food,0.50,맛집|저녁
a4c47f4a5800f88d,food,0.75,맛집|저녁|술집
4bffaf0e826c5327,food,1.00,맛집|저녁|고기|술집
52318716937f3f28,food,0.50,맛집|저녁
97f4a3b02db9e057,food,0.50,맛집|저녁
97f4a3b02db9e057,domestic_travel,0.25,숙소
e92de31ba5187fc9,food,0.88,맛집|식당|저녁|방문
cbda53d6d9f1c241,food,0.88,맛집|저녁|고기|추천
9194c9fa29b15ca8,food,0.75,맛집|저녁|웨이팅
8d8f058b2d20cbfc,food,0.50,맛집|저녁
e9ba67c6b5625ad5,food,0.50,맛집|저녁
f893c96e99d12643,food,0.50,맛집|저녁
229de89583ed52a5,food,0.63,맛집|저녁|방문
c84d15f1afb15f8c,food,1.00,맛집|저녁|웨이팅|방문|추천
c84d15f1afb15f8c,domestic_travel,0.25,방문|추천
05f1f6cb9c2db57e,food,0.50,맛집|저녁
939483453092ba3a,food,0.63,맛집|저녁|후기
6b3a26e223ed685b,food,0.75,맛집|저녁|카페
37abef6e41c4f61c,food,0.50,맛집|저녁
ac3f14ae5cb84bfa,food,0.63,맛집|저녁|방문
d2bd39fc7ac44f90,food,0.75,맛집|저녁|방문|데이트
d2bd39fc7ac44f90,domestic_travel,0.25,방문|데이트
4437ba4807be400e,food,1.00,맛집|메뉴|저녁|방문|추천|후기
4437ba4807be400e,domestic_travel,0.38,방문|추천|후기
00a528f8cc11de34,food,0.88,맛집|저녁|고기|방문
0605f03f5cc28ed8,food,0.63,맛집|저녁|후기
82f1bf047785064d,food,0.50,맛집|저녁
e2d28fe78d6dd8aa,food,1.00,맛집|저녁|밥집|추천|후기
e2d28fe78d6dd8aa,domestic_travel,0.25,추천|후기
4c67318cf6946964,food,1.00,맛집|저녁|카페|디저트|방문
abdaea1c0003b00e,food,1.00,맛집|메뉴|저녁|파스타|추천
e217aec7b875477b,food,0.88,맛집|저녁|고기|추천
8f6b4eaadda6a52d,food,0.75,맛집|저녁|웨이팅
3b74d02f793e75b6,food,0.50,맛집|저녁
dba763d31ec286cb,food,0.75,맛집|식당|저녁
5ec6ef38ceb6a41f,food,1.00,맛집|식당|저녁|고기|방문|후기
5ec6ef38ceb6a41f,domestic_travel,0.25,방문|후기
110a09282e94bb5d,food,0.63,맛집|저녁|후기
3fd5c0ad57d8db1f,food,0.50,맛집|저녁
22088f921af6929d,food,0.75,맛집|저녁|고기
1ad59a0246bd1ec1,food,0.88,맛집|메뉴|저녁|방문
27de929a37bf780a,food,0.75,맛집|저녁|술집
9164caf74e2c15a9,food,0.75,맛집|저녁|방문|추천
9164caf74e2c15a9,domestic_travel,0.25,방문|추천
296d42d29c7ba295,food,0.50,맛집|저녁
9ad062051b9feb37,food,0.50,맛집|저녁
e25d5d26e4b6656f,food,0.88,맛집|저녁|라멘|방문
b8f19ee21824f790,food,0.75,맛집|저녁|웨이팅
04b639501deb1b22,food,0.50,맛집|저녁
04b639501deb1b22,domestic_travel,0.25,축제
c3111f7f050acef9,food,0.88,맛집|식당|저녁|방문
157290374025fc06,food,0.75,맛집|저녁|술집
7c930617085f64fb,food,0.75,맛집|메뉴|저녁
1c981b9bf802e633,food,0.50,맛집|저녁
c5236fdff879eea9,food,0.50,맛집|저녁
8ff2407d515f1ab4,food,1.00,맛집|식당|메뉴|저녁
fa32aafb2e401bcb,food,1.00,맛집|메뉴|저녁|방문|데이트
fa32aafb2e401bcb,domestic_travel,0.25,방문|데이트
5c7d9eaa1c3735de,food,0.75,맛집|저녁|고기
2b952849ce440fc2,food,0.75,맛집|저녁|추천|후기
2b952849ce440fc2,domestic_travel,0.25,추천|후기
907c58ab4404fac7,food,0.75,맛집|저녁|고기
ad9e7668a96b9bb1,food,0.50,맛집|저녁
8a2a85bbf121377a,food,0.50,맛집|저녁
c354a76532580ef7,food,0.88,맛집|저녁|카페|추천
c354a76532580ef7,domestic_travel,0.38,숙소|추천
126912eb44eee895,food,0.50,맛집|저녁
411154776a07ee7c,food,0.75,맛집|저녁|고기
6655abd0da5ea848,food,0.50,맛집|저녁
6655abd0da5ea848,domestic_travel,0.50,숙소|바다
1be4fad65b5b13b5,food,0.88,맛집|저녁|고기|방문
9ba5217b401dd8f1,food,0.75,맛집|메뉴|저녁
936946d3151ad6a0,food,0.63,맛집|저녁|방문
0e89e3a379f426c7,food,0.50,맛집|저녁
79bcad8b702a94fd,food,0.75,맛집|식당|저녁
c976579e7b4c0eb2,food,0.75,맛집|저녁|고기
05f1f000035ebd6e,food,0.63,맛집|저녁|방문
05f1f000035ebd6e,domestic_travel,0.38,나들이|방문
91cea7579fb45cdd,food,0.50,맛집|저녁
91cea7579fb45cdd,domestic_travel,0.25,나들이
60573d3bf9f81d13,food,0.75,맛집|저녁|고기
9768b09a00492c5b,food,0.50,맛집|저녁
9768b09a00492c5b,domestic_travel,0.25,숙소
ff9970f1c6924c5d,food,0.75,맛집|저녁|고기
a79bdd6cfe0d4f8a,food,1.00,맛집|메뉴|저녁|고기
704c4eeaad906ed1,food,0.50,맛집|저녁
d307cf2db05a10b2,food,0.50,맛집|저녁
8171a83093bb9661,food,0.75,맛집|저녁|고기
d80f1b7e4be1044a,food,0.50,맛집|저녁
d80f1b7e4be1044a,domestic_travel,0.25,바다
2082a12e20c9bfe8,food,0.75,맛집|식당|저녁
b0a7a7d5c1fa75f4,food,0.75,맛집|저녁|고기
e3dbb28744c7f8a5,food,0.75,맛집|저녁|술집
9f942c775e1dd055,food,0.50,맛집|저녁
9f942c775e1dd055,domestic_travel,0.25,바다
f296bd0c38b90d1f,food,0.63,맛집|저녁|추천
cf40378bdd7146b3,food,0.88,맛집|저녁|웨이팅|방문
54430bc838300b3e,food,1.00,맛집|저녁|브런치|방문|추천|데이트
54430bc838300b3e,domestic_travel,0.38,방문|추천|데이트
79a4959f8c1fc969,food,0.50,맛집|저녁
d2fb994b81652944,food,0.50,맛집|저녁
de1879aa32b60876,food,0.50,맛집|저녁
2a59f22b94d744a4,food,0.50,맛집|저녁
cd79de47ce5cd289,food,1.00,맛집|저녁|카페|디저트|방문|추천|데이트
cd79de47ce5cd289,domestic_travel,0.38,방문|추천|데이트
3902a75058927fc2,food,0.75,맛집|메뉴|저녁
714db0ca14a29038,food,0.50,맛집|저녁
ee119be10742cd36,food,0.50,맛집|저녁
ee119be10742cd36,domestic_travel,0.25,시장
43b7de27fcf00074,food,1.00,맛집|식당|저녁|고기|추천
e242e0f9bd83307d,food,0.75,맛집|저녁|술집
73d7e88aa2028669,food,1.00,맛집|저녁|카페|디저트|추천
a9465bc39a8c8b86,food,0.88,맛집|저녁|카페|방문
a9465bc39a8c8b86,domestic_travel,0.38,바다|방문
c30ed7db300e0062,food,0.63,맛집|저녁|추천
c30ed7db300e0062,domestic_travel,0.38,가볼만한곳|추천
88dd9641f8c112b3,food,0.50,맛집|저녁
64d2cfb5f18ef61c,food,0.63,맛집|저녁|추천
26147e0b0ab0ee09,food,1.00,맛집|식당|저녁|방문|추천|후기
26147e0b0ab0ee09,domestic_travel,0.38,방문|추천|후기
00cd675f4b9edbe2,food,0.50,맛집|저녁
c2e2f60a0f3e8083,food,0.50,맛집|저녁
ee7d245e2a5827b9,food,0.50,맛집|저녁
2dde046b61366f67,food,0.63,맛집|저녁|방문
3e2772aef8b23d9d,food,0.88,맛집|저녁|웨이팅|방문
e60941e7c819e792,food,0.50,맛집|저녁
e60941e7c819e792,domestic_travel,0.25,시장
e460ac542ceff617,food,0.50,맛집|저녁
c5b44fd48f084f87,food,0.50,맛집|저녁
e664d8ee26413288,food,0.88,맛집|저녁|고기|후기
e0c399228fdda043,food,0.50,맛집|저녁
d685f9c0b2289c65,food,0.50,맛집|저녁
516eb6e3b2d45718,food,0.75,맛집|저녁|고기
b514db3401ad2dac,food,0.50,맛집|저녁
66450e6160a275e0,food,0.50,맛집|저녁
66450e6160a275e0,domestic_travel,0.25,숙소
af73200c7054af75,food,0.88,맛집|저녁|고기|후기
70b520ab96ed7e7a,food,1.00,맛집|메뉴|저녁|카페
bddd13f2acb6c399,food,0.75,맛집|저녁|밥집
f8d270a633f966f6,food,1.00,맛집|저녁|카페|방문|추천
f8d270a633f966f6,domestic_travel,0.25,방문|추천
a645faf724d80484,food,0.50,맛집|저녁
b319cd7cdab74106,food,1.00,맛집|메뉴|저녁|고기|추천
b38eaf3106798e47,food,0.75,맛집|저녁|웨이팅
762a3c654bab8aea,food,0.88,맛집|저녁|고기|추천
996bfb5c4f74b407,food,0.63,맛집|저녁|방문
996bfb5c4f74b407,domestic_travel,0.38,시장|방문
67a42508cadf1f18,food,0.63,맛집|저녁|방문
410e48742a6243b7,food,0.88,맛집|저녁|술집|추천
410e48742a6243b7,domestic_travel,0.38,시장|추천
0a36be2f86fbddf1,food,0.50,맛집|저녁
d6f7419115eb344d,food,0.75,맛집|저녁|파스타
b62995746d4b0a7e,food,1.00,맛집|저녁|웨이팅|방문|추천|후기
b62995746d4b0a7e,domestic_travel,0.38,방문|추천|후기
8c4d72894c41241c,food,0.63,맛집|저녁|데이트
ff60af1e3e5b965b,food,0.75,맛집|저녁|고기
ea996d55e65825d8,food,0.50,맛집|저녁
e298d14a16798f0c,food,0.50,맛집|저녁
8fdef4492121f515,food,0.75,맛집|저녁|웨이팅
f082909494ce982d,food,0.50,맛집|저녁
f082909494ce982d,domestic_travel,0.25,나들이
664aeb58766ba2bd,food,0.88,맛집|식당|저녁|방문
30fdac3d27f9fd48,food,0.50,맛집|저녁
fa17c2e86c57e89a,food,0.75,맛집|저녁|웨이팅
b64c4af061cfcae5,food,0.50,맛집|저녁
0042db850e04fb69,food,0.75,맛집|저녁|카페
eba361d4b8103adf,food,0.50,맛집|저녁
e38eac0e3107d8a9,food,1.00,맛집|식당|저녁|추천|후기
e38eac0e3107d8a9,domestic_travel,0.25,추천|후기
504aa1c26ec5b51b,food,1.00,맛집|식당|저녁|디저트|술집
e2c008ccd9981563,food,0.63,맛집|저녁|추천
d2004bc902df3ffe,food,0.50,맛집|저녁
9745f16045b64352,food,0.75,맛집|저녁|고기
e692cac99c4925f0,food,0.88,맛집|저녁|웨이팅|방문
e692cac99c4925f0,domestic_travel,0.38,숙소|방문
83d0268c5295e259,food,0.50,맛집|저녁
f7c78166e3039667,food,0.63,맛집|저녁|추천
054c6f690c1e6a4e,food,0.88,맛집|저녁|카페|추천
054c6f690c1e6a4e,domestic_travel,0.88,당일치기|가볼만한곳|시장|추천
f0cd2b83ecd22a64,food,0.75,맛집|저녁|고기
821bbe1140501c46,food,0.63,맛집|저녁|방문
821bbe1140501c46,domestic_travel,0.38,가볼만한곳|방문
b3a338d39f15bb1c,food,0.63,맛집|저녁|추천
1c615527988a36ec,food,1.00,맛집|메뉴|저녁|카페
d29fbd0b40d03e8a,food,0.75,맛집|저녁|술집
8a89c8198cc90f3f,food,0.75,맛집|저녁|방문|데이트
8a89c8198cc90f3f,domestic_travel,0.25,방문|데이트
a02118846d3b5289,food,1.00,맛집|메뉴|저녁|고기
dbe6077f92226970,food,1.00,맛집|저녁|카페|디저트
e216bb10c3d84ed3,food,0.75,맛집|저녁|웨이팅
bcae2d75f6ffdd6d,food,0.63,맛집|저녁|추천
ae5e2791320a6345,food,0.50,맛집|저녁
ae5e2791320a6345,domestic_travel,0.25,해변
8be8bd0983287efb,food,1.00,맛집|메뉴|저녁|고기
9dc31724cc952f1c,food,0.50,맛집|저녁
b93b5ec71d7d97b1,food,0.50,맛집|저녁
59014ba68877a4a7,food,0.63,맛집|저녁|추천
59014ba68877a4a7,domestic_travel,0.38,숙소|추천
d756c4179fba739b,food,0.88,맛집|저녁|웨이팅|방문
d756c4179fba739b,domestic_travel,0.38,시장|방문
ebc59a635b4ce228,food,0.63,맛집|저녁|후기
ad69d9a3185431af,food,0.88,맛집|저녁|고기|후기
24c0b8be97cf5ffc,food,1.00,맛집|저녁|고기|방문|추천
24c0b8be97cf5ffc,domestic_travel,0.25,방문|추천
8d9bf0973a96a9af,food,1.00,맛집|저녁|술집|방문|후기
8d9bf0973a96a9af,domestic_travel,0.25,방문|후기
4d5d615386b42112,food,0.63,맛집|저녁|추천
7b35af35c56954c7,food,0.50,맛집|저녁
198bf77a60012dd1,food,0.88,맛집|저녁|술집|방문
d9405e8be3c99038,food,0.63,맛집|저녁|방문
baf76d74262a1fb5,food,0.50,맛집|저녁
baf76d74262a1fb5,domestic_travel,0.50,시장|나들이
d26d2b0bcd78643d,food,0.63,맛집|저녁|추천
917ec970f4c1703f,food,0.50,맛집|저녁
093b44f78b698d07,food,1.00,맛집|저녁|카페|디저트|추천
4d12c8bdbd14d086,food,0.75,맛집|저녁|카페
c8d365a1d97bfa0d,food,0.75,맛집|저녁|고기
d91eeab11b5d233d,food,0.88,맛집|저녁|고기|추천
30ea53308dde3438,food,0.75,맛집|저녁|술집
9f08ff0c53cdf779,food,0.63,맛집|저녁|추천
065e41610a83ea71,food,0.88,맛집|저녁|웨이팅|데이트
bf6d8062b24b62ff,food,0.50,맛집|저녁
1864bb577db1e3de,food,0.50,맛집|저녁
3dd88f3e3001c928,food,1.00,맛집|메뉴|저녁|고기|추천
98f5a8d373251f38,food,0.88,맛집|저녁|카페|후기
6bb0b8bd2135cac1,food,1.00,맛집|저녁|카페|디저트|방문|추천|데이트
6bb0b8bd2135cac1,domestic_travel,0.38,방문|추천|데이트
4cf2e22c13c8345b,food,0.50,맛집|저녁
1051fb0b66cbc088,food,0.75,맛집|저녁|고기
2c6d9db5c442d28e,food,0.63,맛집|저녁|후기
4c1fb54a4e705a52,food,0.63,맛집|저녁|추천
7c44d5fd072f431f,food,0.88,맛집|저녁|고기|후기
c74daaf7e975b8d1,food,1.00,맛집|저녁|술집|방문|추천
c74daaf7e975b8d1,domestic_travel,0.25,방문|추천
dd6dda9a966f5944,food,0.88,맛집|저녁|카페|후기
dd6dda9a966f5944,domestic_travel,0.38,명소|후기
301f83f8b500ca96,food,0.50,맛집|저녁
a769b7b4dd1196b8,food,0.88,맛집|메뉴|저녁|후기
c75320ce88c536de,food,0.50,맛집|저녁
514193c1d19c5858,food,0.75,맛집|저녁|방문|후기
514193c1d19c5858,domestic_travel,0.25,방문|후기
e78392bd3ed6851b,food,0.50,맛집|저녁
e78392bd3ed6851b,domestic_travel,0.25,바다
09115e9a07a6a740,food,0.63,맛집|저녁|데이트
ab59162a7e6b0acc,food,0.50,맛집|저녁
b202df009b0674c1,food,0.50,맛집|저녁
0c7316d6e054b7c1,food,0.50,맛집|저녁
0c7316d6e054b7c1,domestic_travel,0.25,시장
c1c69a927fcc4e36,food,0.50,맛집|저녁
c1c69a927fcc4e36,domestic_travel,0.25,시장
e64da7c37dad24f1,food,0.50,맛집|저녁
14febeda5c72c9f0,food,0.88,맛집|저녁|고기|추천
b94c3a284d09611a,food,0.75,맛집|저녁|방문|후기
b94c3a284d09611a,domestic_travel,0.75,시장|나들이|방문|후기
d5bdcedcfbec56e3,food,0.63,맛집|저녁|방문
a9484b895145cadb,food,1.00,맛집|식당|저녁|고기
7b68ba4d8eeb3a2c,food,1.00,맛집|메뉴|저녁|추천|데이트
7b68ba4d8eeb3a2c,domestic_travel,0.25,추천|데이트
fc9f8d8f377a4ea8,food,0.50,맛집|저녁
c2e96b554d1aff81,food,0.63,맛집|저녁|추천
c2e96b554d1aff81,domestic_travel,0.38,명소|추천
0c22d688c2ffaf4f,food,0.50,맛집|저녁
aaaf9d11758898d6,food,0.75,맛집|저녁|고기
2512cbc97bb26f2a,food,0.63,맛집|저녁|데이트
34fb3074cb2f67d9,food,0.75,맛집|저녁|고기
92dc02eb34ad0522,food,0.75,맛집|저녁|밥집
581ec0670f3414cd,food,0.50,맛집|저녁
581ec0670f3414cd,domestic_travel,0.25,숙소
9001a5e438e3a195,food,0.63,맛집|저녁|방문
347b3eab83a42067,food,0.75,맛집|저녁|고기
34f5dc9e377b8093,food,0.50,맛집|저녁
e7c0bb13536b414c,food,0.75,맛집|저녁|고기
d49e9e3f6ff7f328,food,0.75,맛집|저녁|고기
9648b591ecc499a3,food,0.88,맛집|저녁|술집|방문
29700846c7ef483b,food,0.75,맛집|저녁|방문|후기
29700846c7ef483b,domestic_travel,0.25,방문|후기
c2cb4fad41cebf37,food,1.00,맛집|저녁|술집|방문|후기
c2cb4fad41cebf37,domestic_travel,0.25,방문|후기
d555d5318c6d7b7f,food,0.50,맛집|저녁
28ba9ddb0aaf283b,food,0.50,맛집|저녁
c7bb1740d352d805,food,0.50,맛집|저녁
5dc2c15de52b0fee,food,0.63,맛집|저녁|방문
6ffe67d33f68907e,food,0.50,맛집|저녁
2423b111444c7128,food,0.88,맛집|메뉴|저녁|추천
cbdb048254b6f269,food,0.50,맛집|저녁
79a6f6170a285aac,food,0.63,맛집|저녁|후기
f09b082d455b1f80,food,0.50,맛집|저녁
1fac3dafb5938188,food,1.00,맛집|저녁|카페|디저트|데이트
74a5a41c84729bbb,food,0.63,맛집|저녁|후기
32bf3ef2fbc6a916,food,0.50,맛집|저녁
32bf3ef2fbc6a916,domestic_travel,0.25,숙소
d1de782d49184656,food,0.50,맛집|저녁
