rank,date,category,region,display_name,official_place_name,event_name,alias_name,match_type,candidate_type,naver_place_category,blog_post_count,today_count,previous_average,lift,match_score,hot_score,address,roadAddress,mapx,mapy,naver_place_link,sample_titles,sample_links
1,2026-05-31,domestic_travel,강릉,중앙시장,중앙시장,,,exact_place,travel_spot,"쇼핑,유통>시장",7,7,0.00,14.00,90,88.2,강원특별자치도 강릉시 성남동 50,강원특별자치도 강릉시 금성로 21,1288983903,377535620,http://www.gnmarket.or.kr/gnmarket/index.php,"강릉감자닭강정 중앙시장 포장 후기 강릉 맛집 추천|4월 강릉여행|강릉 핫플 레이스, 중앙시장... 난 강릉중앙시장 찐 핫플 탐방기|갤러리밥스부터 툇마루까지, 아이랑 강릉 2박 3일 핫플 여행|강릉 맛집 중앙시장 맛집 인생물회 육회물회 컵물회",https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332|https://blog.naver.com/gmlwjd2829/224301720312|https://blog.naver.com/57136/224301829140
2,2026-05-31,food,광주,연화식당,연화식당,,,exact_place,restaurant,"한식>육류,고기요리",5,5,0.00,10.00,90,45,광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,,"전현무계획 광주 연화식당 예약 주차 혼밥 육전 맛집 위치 총정리|광주 연화식당 가기 전 필독: 육전·룸·방송 소문까지 한 번에...|전현무계획3 광주 육전 맛집 연화식당 위치 가격 주차 팁 총정리|광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/overthesense/224301637298|https://blog.naver.com/e150934/224301848407|https://blog.naver.com/tornadoofsoul/224301770965|https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
3,2026-05-31,food,대구,서문시장,서문시장,,,exact_place,travel_spot,"쇼핑,유통>시장",3,3,0.00,6.00,90,16.2,대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,"[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|[글쓰기] 260503 : 대구 여행 1일차 / 서문시장, 동성로...",https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/kkokkorun/224301643583
4,2026-05-31,domestic_travel,대구,서문시장,서문시장,,,exact_place,travel_spot,"쇼핑,유통>시장",3,3,0.00,6.00,90,16.2,대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,"[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|[글쓰기] 260503 : 대구 여행 1일차 / 서문시장, 동성로...",https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/kkokkorun/224301643583
5,2026-05-31,food,수원,광교호수공원,광교호수공원,,,exact_place,travel_spot,"여행,명소>도시,테마공원",2,2,0.00,4.00,90,7.2,경기도 수원시 영통구 하동 1026-1,경기도 수원시 영통구 광교호수로 165,1270696711,372826146,http://www.gglakepark.or.kr/,"광교 호수공원 맛집 청년감자탕순대국 묵은지감자탕 후기|광교 법조타운 맛집 , 야끼토리잔잔 광교점 후기!",https://blog.naver.com/domdobu/224301759569|https://blog.naver.com/smile085/224301833775
6,2026-05-31,food,대구,단골식당 연탄돼지불고기,단골식당 연탄돼지불고기,,,exact_place,restaurant,음식점>한식,2,2,0.00,4.00,90,7.2,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
7,2026-05-31,domestic_travel,대구,단골식당 연탄돼지불고기,단골식당 연탄돼지불고기,,,exact_place,restaurant,음식점>한식,2,2,0.00,4.00,90,7.2,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
8,2026-05-31,domestic_travel,강릉,사근진해변,사근진해변,,,exact_place,travel_spot,"여행,명소>해수욕장,해변",2,2,0.00,4.00,90,7.2,강원특별자치도 강릉시 안현동 2-7,강원특별자치도 강릉시 해안로604번길 16,1288990719,378128825,http://sagunjin.co.kr,[강릉 여행 ]엄마와 함께 떠난 강원도 강릉/2박3일|6월의 강원 추천 여행 지는? 강릉 단오제! 화천 파크골프장!,https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/gwdoraeyo/224297862469
9,2026-05-31,domestic_travel,광주,연화식당,연화식당,,,exact_place,restaurant,"한식>육류,고기요리",2,2,0.00,4.00,90,7.2,광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,,"광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
10,2026-05-31,domestic_travel,대전,중앙시장,중앙시장,,,exact_place,travel_spot,"쇼핑,유통>시장",2,2,0.00,4.00,90,7.2,대전광역시 동구 중동 317,대전광역시 동구 중앙로 200-1,1274319380,363298389,,대전|대전중앙시장 내돈내산 맛집 리스트 솔이네계란빵...|대전이 이렇게 좋았어? 당일치기 여행 코스 Best5,https://blog.naver.com/mugja30/224301865406|https://blog.naver.com/whqufdl37/224301687117
