rank,term,count,seed_queries,sample_titles,sample_links
16,부산여행,20,가볼만한곳|데이트|핫플,"부산 여행코스 추천｜30분 만에 완성하는 레진반지... | [송도요트투어] 아이랑 가기 좋은 부산 요트 투어 1등... | 27. 부산역 카페 브라운핸즈 백제: 메뉴, 분위기, 주차 및 이용...",https://blog.naver.com/dear_us-/224301828460 | https://blog.naver.com/inno4679/224301786937 | https://blog.naver.com/sophicare/224301743938
17,서울 가볼만한곳,20,가볼만한곳,"[캣츠 앤 독스] 하늘에서 본 지구 얀 아르튀스 베르트랑... | 서울 가볼만한 곳 | 중랑천 광진 장미정원, 장미축제 다녀온 후기 | 2026 서울숲 가든페스티벌 사전예매 공연 후기 및 주변...",https://blog.naver.com/pink_psycho/224301827570 | https://blog.naver.com/jeeinkm/224301825908 | https://blog.naver.com/bi-yam/224301822845
18,대구 핫플,18,핫플,"대구 동성로 삼겹살 맛집 “참한집 종로점”, 돼지껍데기까지... | 대구 빙수맛집 동성로카페 바닐라크럼브 양쯔깐루빙수... | 대구 달성군 카페 커피명가 구지점 I 낙동강 뷰 단호박케이크...",https://blog.naver.com/yaejin29/224301830342 | https://blog.naver.com/whtnrud19/224301828285 | https://blog.naver.com/moleveve/224301825678
19,부산 가볼만한곳,18,가볼만한곳,[6월 부산 근교 여행] 보랏빛 오션뷰 + 차박 + 기장 미식까지... | 부산 여행코스 추천｜30분 만에 완성하는 레진반지... | [송도요트투어] 아이랑 가기 좋은 부산 요트 투어 1등...,https://blog.naver.com/information-store/224301780618 | https://blog.naver.com/dear_us-/224301828460 | https://blog.naver.com/inno4679/224301786937
20,데이트,17,가볼만한곳|데이트|핫플,"[서울이스케이프룸] 방탈출 '404호 살인사건' 탈출 성공 후기 | 영종도 짱구네 찐후기! 꿈틀꿈틀 산낙지 전골에 심쿵당한 날... | 고양대형카페 추천, 주차 편하고 분위기 좋은 덕양구 능곡카페...",https://blog.naver.com/dun02105/224301832366 | https://blog.naver.com/bitnadoda/224301813278 | https://blog.naver.com/meogsta/224301748964
21,데일리룩,17,나들이|데이트|핫플|후기,나이키 파크 스우시 맨투맨 CW6902-010 직접 써본 솔직 사용기 | 로엠 하트넥 롱 원피스 RMOWF38RT5 가격 대비 만족도 | 로엠 트위드 자켓 RMJKF4TS51 가격 대비 만족도,https://blog.naver.com/pronto46/224301827227 | https://blog.naver.com/answngks562/224301830350 | https://blog.naver.com/ghkdthwjd53253/224301829882
22,힐링여행,17,가볼만한곳|데이트|핫플,"경쟁률 보고 깜짝 놀랐습니다! 올해 가장 핫한 자연휴양림 정식... | 대한다원의 진짜 매력은 화려함이 아닙니다. 잠시 멈춰서... | 아이와 가볼 만한 곳 , 홍릉숲 산책 꿀팁 총정리",https://blog.naver.com/awesome0254/224300412773 | https://blog.naver.com/daffodil2023/224301787914 | https://blog.naver.com/sean0078/224297691834
23,가족나들이,16,가볼만한곳|핫플,슈퍼탐사대X 히어로스쿨 1기 후기 | 2026 자라섬 꽃페스타 다녀온 솔직후기 북한강 따라 걷는 꽃길... | 2026 아산 외암마을 야행 축제 완벽 가이드셔틀 주차장...,https://blog.naver.com/wonypap/224301832540 | https://blog.naver.com/heunggeuli/224301756454 | https://blog.naver.com/tech_log-/224301805700
24,내돈내산맛집,16,가볼만한곳|데이트|핫플,광명 데이트 하기 좋은 곳 명륜진사갈비 광명사거리점... | 영종도 짱구네 찐후기! 꿈틀꿈틀 산낙지 전골에 심쿵당한 날... | 평택송탄 맛집'순이네 송탄본점' 내돈내산 삼겹살맛집추천,https://blog.naver.com/gongbuyou/224301826352 | https://blog.naver.com/bitnadoda/224301813278 | https://blog.naver.com/jiyoung_s2_/224301821969
25,부산 핫플,16,핫플,"""15년 만에 첫 삽 떴다더니 또 멈췄다고?!"" 영화의 전당 앞... | 부산 부전 서면 닭발 맛집 :: 불향 가득한 신이내린 닭발... | [부산 영도] 감성커피 영도대교점 후기｜감성커피 신메뉴...",https://blog.naver.com/kjy061224/224295124906 | https://blog.naver.com/kkongchichi/224301779387 | https://blog.naver.com/168_eo/224301766082
26,부산맛집,15,가볼만한곳|데이트|핫플,[부산 서면] 매콤한 쭈꾸미가 땡길땐 홍스쭈꾸미 서면점! | 켄트호텔이 말아주는 26년 광안리 어방축제 정보 | 부산 동래에 일본 감성 느끼기 좋은 일본식 돈까스맛집_원카츠,https://blog.naver.com/singbbu/224301827645 | https://blog.naver.com/kenthotel_busan/224301826364 | https://blog.naver.com/shmj1028/224301810001
27,서울데이트,15,가볼만한곳|핫플,"서울 가볼만한 곳 | 중랑천 광진 장미정원, 장미축제 다녀온 후기 | IFC몰 근처 여의도 양갈비 맛집 관호 여의도본점 | 서울 데이트코스 추천 | 윤숲후르츠산도점부터 청계천 책읽는...",https://blog.naver.com/jeeinkm/224301825908 | https://blog.naver.com/yeseonm/224301812944 | https://blog.naver.com/teen9104/224301803554
28,속초 가볼만한곳,15,가볼만한곳,"속초여행 중 들른 점심 맛집, 치즈까스& 함박돈까스에 냉모밀... | [효레의식당 속초점] 속초 엑스포 맛집, 필리핀식 바베큐로... | 이것도 절약 아닐까? 설악산에서 보낸 알찬 하루",https://blog.naver.com/jaeeun2784/224301822105 | https://blog.naver.com/yhrpczxyovq/224301753365 | https://blog.naver.com/sunnycloud2/224301774520
