rank,area,candidate_place,category,mention_count,sample_titles,sample_links
84,성수,달맞이 광장 내돈내산 솔직 후기를 가져왔습니,restaurant,1,성수동 맛집 :) 분위기 좋은 레트로 술집 '성수 달맞이 광장...,https://blog.naver.com/kbe0911/224301573584
85,성수,달콤애플파이 겹겹이 쌓인 페이스트리와 진한,cafe,1,"호과당 성수 달콤애플파이, 겹겹이 쌓인 페이스트리와 진한...",https://blog.naver.com/paranikid/224301609064
86,성수,당일 기념 팝업,popup,1,다소 아쉬운 대응이었던 성수 피프티피프티 컴백 팝업 당일...,https://blog.naver.com/ohelia95/224301613940
87,성수,더 핫한 달그락뭉티기 성내점 인데요 올림픽공원,restaurant,1,강동구청역맛집 달그락뭉티기 성내점 당일도축 한우 뭉티기...,https://blog.naver.com/07_889/224301581003
88,성수,더현대서울 모찌모찌 팝업,popup,1,더현대서울 모찌모찌 팝업 디저트 기간 메뉴 가격 냉장보관,https://blog.naver.com/beaming_with_s/224301591725
89,성수,데려가기 좋은 곳 K-Beauty 성수동은 카페,popup,1,[성수동 데이트코스/외국인 친구 데려가기 좋은 곳] K-Beauty...,https://blog.naver.com/gguiary/224301550685
90,성수,데이트 나 나들이 계획,unknown,1,성수동밥집 분위기 좋은 베트남 음식점 노이 성수점,https://blog.naver.com/hyun951108_/224301780540
91,성수,데이트 라코스테 토코보 뿔바,popup,1,"[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)",https://blog.naver.com/colaunnie/224301753061
92,성수,데이트 로 추천합니다 성수 데이트 로 추천합,unknown,1,황진이 — AI시대 사람과 사람 사이에 흐르는 기운...,https://blog.naver.com/sooyearnga/224301803541
93,성수,데이트 사진까지 당당하게 공개하며 애정을 과,unknown,1,나는 솔로 31기 순자 경수 현커 유지? 걸스토크 논란 뚫고...,https://blog.naver.com/buab00/224301809826
94,성수,데이트 성수 사람 왜케 많아요 리쿠가 무지부,unknown,1,온 세상이 전부 다 너야,https://blog.naver.com/x157_h/224301784293
95,성수,데이트 성수 팝업,popup,1,"[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)",https://blog.naver.com/colaunnie/224301753061
96,성수,데이트 성수 팝업 데이트 라코스테 토코보 뿔,popup,1,"[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)",https://blog.naver.com/colaunnie/224301753061
97,성수,데이트 성수는 여전히 핫 했다,popup,1,"[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)",https://blog.naver.com/colaunnie/224301753061
98,성수,데이트 소개팅하기 좋은 이자카야 oukan,restaurant,1,성수동 데이트. 소개팅하기 좋은 이자카야 [oukan : 오우칸 성수],https://blog.naver.com/happydorylife/224301567803
99,성수,데이트 인증까지 공개되면서 오히려 두 사람의,unknown,1,"“경찰 조사 받은 적 없다”…나솔 31기 순자, 결국 법적 대응...",https://blog.naver.com/jh_item/224301818331
100,성수,데이트 코스 추천 뷰티 이색 팝업 모음 성수,popup,1,6월 성수동 데이트 코스 추천 뷰티 / 이색 팝업 모음,https://blog.naver.com/trenddigging/224301579621
