rank,date,category,region,today_count,previous_average,lift
105,2026-05-31,food,남산,15,2.50,5.00
106,2026-05-31,domestic_travel,건대,10,1.50,5.00
107,2026-05-31,domestic_travel,의정부,10,1.50,5.00
108,2026-05-31,domestic_travel,명동,19,3.33,4.96
109,2026-05-31,food,석촌,22,4.00,4.89
110,2026-05-31,food,서초,36,7.00,4.80
111,2026-05-31,domestic_travel,춘천,32,6.17,4.80
112,2026-05-31,domestic_travel,연남동,19,3.50,4.75
113,2026-05-31,domestic_travel,남양주,26,5.00,4.73
114,2026-05-31,domestic_travel,여의도,28,5.50,4.67
115,2026-05-31,domestic_travel,신촌,7,1.00,4.67
116,2026-05-31,domestic_travel,천호,10,1.67,4.62
117,2026-05-31,domestic_travel,김포,12,2.17,4.50
118,2026-05-31,food,합정,22,4.50,4.40
119,2026-05-31,food,북촌,11,2.00,4.40
120,2026-05-31,food,마포,46,10.00,4.38
121,2026-05-31,food,왕십리,19,4.00,4.22
122,2026-05-31,food,양재,23,5.00,4.18
123,2026-05-31,food,서촌,16,3.50,4.00
124,2026-05-31,domestic_travel,동대문,14,3.00,4.00
125,2026-05-31,food,송리단길,10,2.00,4.00
126,2026-05-31,domestic_travel,미사,6,1.00,4.00
127,2026-05-31,domestic_travel,정자,6,1.00,4.00
128,2026-05-31,domestic_travel,상수,6,1.00,4.00
129,2026-05-31,domestic_travel,해방촌,6,1.00,4.00
130,2026-05-31,domestic_travel,상암,2,0.00,4.00
131,2026-05-31,food,DDP,2,0.00,4.00
132,2026-05-31,food,용산,63,16.00,3.82
133,2026-05-31,food,압구정,21,5.00,3.82
134,2026-05-31,food,코엑스,17,4.00,3.78
135,2026-05-31,domestic_travel,교대,11,2.50,3.67
136,2026-05-31,food,문래,20,5.00,3.64
137,2026-05-31,food,여의도,45,12.00,3.60
138,2026-05-31,food,양평,18,4.50,3.60
139,2026-05-31,food,가평,34,9.00,3.58
140,2026-05-31,domestic_travel,뚝섬,7,1.50,3.50
141,2026-05-31,domestic_travel,압구정,12,3.00,3.43
142,2026-05-31,food,역삼,27,7.50,3.38
143,2026-05-31,domestic_travel,방배,5,1.00,3.33
144,2026-05-31,domestic_travel,송리단길,5,1.00,3.33
145,2026-05-31,food,을지로,48,14.50,3.20
146,2026-05-31,domestic_travel,서초,16,4.50,3.20
147,2026-05-31,food,상수,8,2.00,3.20
148,2026-05-31,domestic_travel,구리,8,2.00,3.20
149,2026-05-31,food,가로수길,8,2.00,3.20
150,2026-05-31,food,사당,23,7.00,3.07
151,2026-05-31,food,동대문,29,9.00,3.05
152,2026-05-31,food,뚝섬,9,2.50,3.00
153,2026-05-31,domestic_travel,종로,35,11.50,2.92
154,2026-05-31,domestic_travel,양평,24,7.83,2.88
155,2026-05-31,domestic_travel,용산,31,10.50,2.82
156,2026-05-31,domestic_travel,을지로,21,7.00,2.80
157,2026-05-31,food,한남동,21,7.00,2.80
158,2026-05-31,domestic_travel,역삼,7,2.00,2.80
159,2026-05-31,food,노량진,7,2.00,2.80
160,2026-05-31,food,해방촌,7,2.00,2.80
161,2026-05-31,food,신사,23,8.00,2.71
162,2026-05-31,food,과천,4,1.00,2.67
163,2026-05-31,food,종로,71,26.50,2.63
164,2026-05-31,food,석촌호수,17,6.00,2.62
165,2026-05-31,domestic_travel,삼성,9,3.00,2.57
166,2026-05-31,domestic_travel,문래,9,3.00,2.57
167,2026-05-31,domestic_travel,신사,9,3.00,2.57
168,2026-05-31,food,인사동,9,3.00,2.57
169,2026-05-31,food,대학로,10,3.50,2.50
170,2026-05-31,food,광화문,37,14.50,2.47
171,2026-05-31,domestic_travel,대학로,7,2.50,2.33
172,2026-05-31,domestic_travel,한남동,8,3.00,2.29
173,2026-05-31,domestic_travel,더현대서울,14,6.00,2.15
174,2026-05-31,domestic_travel,광화문,13,6.00,2.00
175,2026-05-31,domestic_travel,사당,9,4.00,2.00
176,2026-05-31,domestic_travel,양재,9,4.00,2.00
177,2026-05-31,domestic_travel,서촌,7,3.00,2.00
178,2026-05-31,domestic_travel,왕십리,7,3.00,2.00
179,2026-05-31,domestic_travel,인사동,5,2.00,2.00
180,2026-05-31,domestic_travel,가로수길,3,1.00,2.00
181,2026-05-31,domestic_travel,공덕,3,1.00,2.00
182,2026-05-31,domestic_travel,가평,39,20.83,1.83
183,2026-05-31,domestic_travel,혜화,5,2.50,1.67
184,2026-05-31,food,상암,4,2.00,1.60
185,2026-05-31,food,혜화,7,4.00,1.56
186,2026-05-31,domestic_travel,선릉,3,1.50,1.50
187,2026-05-31,food,더현대서울,18,13.00,1.33
188,2026-05-31,domestic_travel,올림픽공원,2,1.00,1.33
