post_id,source_category,seed,link
76c749c666f99ed2,food,맛집,https://blog.naver.com/yoonsscom/224301957486
74080528197a2d99,food,맛집,https://blog.naver.com/jyeon_diary/224301957568
9dc84bad426cfcdc,food,맛집,https://blog.naver.com/kimnninji/224301957889
6dbce6cb3a7756c8,food,맛집,https://blog.naver.com/jihu8083/224301957837
eda154f9421a1db5,food,맛집,https://blog.naver.com/main_diarynote/224301957607
3133bd5f61bb6e7b,food,맛집,https://blog.naver.com/jeonkw333/224301957654
ce21a05124a9355d,food,맛집,https://blog.naver.com/easydms_/224301957583
6a03dfb813944795,food,맛집,https://blog.naver.com/sakeyjeol25/224301958206
aca6b692c2852853,food,맛집,https://blog.naver.com/yeonsu0819_/224301957497
572dec7e99ee6505,food,맛집,https://blog.naver.com/hobyeolha/224301957515
81e4c1f9559e6c3f,food,맛집,https://blog.naver.com/laduck515/224301957713
07a8acf2cb30cdcd,food,맛집,https://blog.naver.com/tadpolecloud/224301957557
0e228a7b57f287c6,food,맛집,https://blog.naver.com/kusoran/224301958012
8f63a7aba0451696,food,맛집,https://blog.naver.com/tw1nklex2/224301957590
3c362dfd659e3036,food,맛집,https://blog.naver.com/hi_sseung/224301957916
7473a0790c63b850,food,맛집,https://blog.naver.com/stonefishery/224301957435
ffc7242ab7c2b79a,food,맛집,https://blog.naver.com/promiseguide1004/224301957833
9e8bef3820a4bede,food,맛집,https://blog.naver.com/frbom/224301957756
07ce14b181ed8d44,food,맛집,https://blog.naver.com/minisudal2/224301957413
06735a733e32923b,food,맛집,https://blog.naver.com/vipvip1007/224301957362
3133bd5f61bb6e7b,food,맛집,https://blog.naver.com/jeonkw333/224301957654
6dbce6cb3a7756c8,food,맛집,https://blog.naver.com/jihu8083/224301957837
5e22cf8a91b4f8db,food,맛집,https://blog.naver.com/awake925/224301957755
9dc84bad426cfcdc,food,맛집,https://blog.naver.com/kimnninji/224301957889
a0d971280b8e1193,food,맛집,https://blog.naver.com/iseonga/224301957485
36a53f2d3d3c67a2,food,맛집,https://blog.naver.com/puresquid/224301957765
7950bff5109f4095,food,맛집,https://blog.naver.com/ko-areum/224301957821
7473a0790c63b850,food,맛집,https://blog.naver.com/stonefishery/224301957435
7c1b1a9615fe1105,food,맛집,https://blog.naver.com/yujnnn/224301957411
76c749c666f99ed2,food,맛집,https://blog.naver.com/yoonsscom/224301957486
81e4c1f9559e6c3f,food,맛집,https://blog.naver.com/laduck515/224301957713
c3b2058fc7d25085,food,맛집,https://blog.naver.com/yooniverse_41/224301958135
d973e694ec1fbc3d,food,맛집,https://blog.naver.com/58564/224301958076
68da0a2aecaa20af,food,맛집,https://blog.naver.com/vikutreh-1/224301957276
898caaa16e18fc2d,food,맛집,https://blog.naver.com/wlals1294/224301956835
1dbfc919e987c075,food,맛집,https://blog.naver.com/limsy0310/224301956495
96bf5ed0cf44ee7d,food,맛집,https://blog.naver.com/gmltjs6747/224301956975
4de90bc99f918082,food,맛집,https://blog.naver.com/ahnyj1004/224301956534
07e77aebe2b51526,food,맛집,https://blog.naver.com/traveler_jasmin/224301956765
7107891b9514a715,food,맛집,https://blog.naver.com/dgpfud1/224301956482
e7f722b6e4763c3b,food,맛집,https://blog.naver.com/ji_woo0402/224301957160
a57643ca0f5aa268,food,맛집,https://blog.naver.com/yujassi1010/224301957005
f641a2e16512aae2,food,맛집,https://blog.naver.com/s083121/224301957110
b23e35df7fcdfc28,food,맛집,https://blog.naver.com/kettlechip/224301956679
df8d4c9c8543feeb,food,맛집,https://blog.naver.com/end_wonbin/224301957106
9cea6b89a9b9357b,food,맛집,https://blog.naver.com/jigum415/224301956914
010c785ffc6516c1,food,맛집,https://blog.naver.com/world_10004/224301956812
dea873c1206f72c3,food,맛집,https://blog.naver.com/soboroyum/224301957187
b0b47fbec4d28091,food,맛집,https://blog.naver.com/jawen0525/224301956943
cab3d515baf6273b,food,맛집,https://blog.naver.com/yesul19/224301956825
c21e7ceb0f07a6e5,food,맛집,https://blog.naver.com/yunjeong504/224301956846
5c29a73cdaf7df00,food,맛집,https://blog.naver.com/dmstk403/224301956575
f8ff7675e8222281,food,맛집,https://blog.naver.com/muahtoyou/224301956456
3838cd49f2b8909e,food,맛집,https://blog.naver.com/skdlwldudsk/224301957233
a429915a0f89850a,food,맛집,https://blog.naver.com/yongna-/224301956571
45ab37db7d65c07e,food,맛집,https://blog.naver.com/mdhouse7/224301956751
0a912d16ea1b06b1,food,맛집,https://blog.naver.com/troriokgpe/224301956789
5826b743a1922b79,food,맛집,https://blog.naver.com/khjh060201/224301956430
abb061000872f294,food,맛집,https://blog.naver.com/godlovedmsal/224301957120
276d0d2966ff4f24,food,맛집,https://blog.naver.com/yeeum9235/224301956528
476eb9e267ff461f,food,맛집,https://blog.naver.com/sdfaadsfgds/224301956993
87613890ee57fc4d,food,맛집,https://blog.naver.com/dbfgml321/224301957079
90faee73617fd2c4,food,맛집,https://blog.naver.com/tjdwomin/224301957216
b9f20706867063f0,food,맛집,https://blog.naver.com/jinjuri3/224301956364
3352d1a3e633ad3c,food,맛집,https://blog.naver.com/newspringreview/224301956400
562c9d0648af70ae,food,맛집,https://blog.naver.com/minjo0o/224301955788
37adc85f8aff0069,food,맛집,https://blog.naver.com/loverkswml/224301956362
58866895e0cf968c,food,맛집,https://blog.naver.com/katrino1030/224301955618
ee045b99cee45870,food,맛집,https://blog.naver.com/padded_/224301955665
198569acf86c1637,food,맛집,https://blog.naver.com/foodaddict_41/224301955793
91ffad2c02e5169b,food,맛집,https://blog.naver.com/ohjw42/224301956041
e9c118b71ed1144c,food,맛집,https://blog.naver.com/namsu0615/224301956306
48cef51a5eb23621,food,맛집,https://blog.naver.com/dhdltldtld/224301956405
cf458a64671f6ada,food,맛집,https://blog.naver.com/hhhfl/224301956216
0ff6069b1c35f829,food,맛집,https://blog.naver.com/allonsy619/224301956240
7d72c208279446f9,food,맛집,https://blog.naver.com/hyekyung_486/224301955849
5383d4ea1bf02c90,food,맛집,https://blog.naver.com/vaboqlav-2/224301956138
e256ebe2c0a35e1e,food,맛집,https://blog.naver.com/kjh_894/224301956307
46cf5ad2ef67b711,food,맛집,https://blog.naver.com/yajin-s/224301955823
d5d823102b3e8fd9,food,맛집,https://blog.naver.com/qw7284/224301956318
9123789e7571b18d,food,맛집,https://blog.naver.com/200manwonman/224301956225
9f63dc4e110f3b63,food,맛집,https://blog.naver.com/cocoa_101v/224301956197
d116d18072862b1c,food,맛집,https://blog.naver.com/warryong1/224301956251
b288266ed75b27ff,food,맛집,https://blog.naver.com/rotten0909/224301956409
118f3aa86dcb43cb,food,맛집,https://blog.naver.com/kangfla/224301955668
a21cbc535355a2da,food,맛집,https://blog.naver.com/smb0000/224301956042
252019d606163cfb,food,맛집,https://blog.naver.com/dmspeheh/224301955874
c404730e624feef4,food,맛집,https://blog.naver.com/hanyang_lover/224301956009
ad9245fd5d810e2c,food,맛집,https://blog.naver.com/luckyzuu/224301955918
c1c71bfc812bfd1a,food,맛집,https://blog.naver.com/darkangsoil/224301956040
2f61d445024125eb,food,맛집,https://blog.naver.com/kyuleecho/224301956131
01a6b52d0e41b3c2,food,맛집,https://blog.naver.com/k06mmmm/224301956214
1fa1cc38e7f7c6ab,food,맛집,https://blog.naver.com/thffldk8893/224301955922
2ae543408f0ba976,food,맛집,https://blog.naver.com/phj4872/224301956340
624b8d2ab5b0ad95,food,맛집,https://blog.naver.com/worco/224301956209
940c5fab98e68e42,food,맛집,https://blog.naver.com/goldenpenny/224301956038
3670515eb62f3725,food,맛집,https://blog.naver.com/10ve1ylove/224301956153
0c3f25acdffbd68c,food,맛집,https://blog.naver.com/troublesomelikethat/224301955631
53cb25a3244834d6,food,맛집,https://blog.naver.com/hhyun_summer/224301955682
05ba17ed75c1b540,food,맛집,https://blog.naver.com/smileljw/224301955179
8794db8f2ce39921,food,맛집,https://blog.naver.com/busan_sinnam/224301954714
a3d6abdf95ba0c5b,food,맛집,https://blog.naver.com/yyyhhh0101_/224301955157
507648686db88ead,food,맛집,https://blog.naver.com/firepark92/224301955356
223833e9c1835f47,food,맛집,https://blog.naver.com/wearetogher/224301954677
4b0600510a6949f1,food,맛집,https://blog.naver.com/naadaah/224301955183
970691f44f8230c4,food,맛집,https://blog.naver.com/oldage7788/224301955136
841c6bedd6ba5a94,food,맛집,https://blog.naver.com/juyeon123456/224301955181
232fb53a327730dd,food,맛집,https://blog.naver.com/happily_152/224301955444
3b751eed5adf4a4d,food,맛집,https://blog.naver.com/2nhyee/224301954889
d246250bd6f08aaf,food,맛집,https://blog.naver.com/glo717/224301954928
955363c404110749,food,맛집,https://blog.naver.com/gigi514/224301955178
b163b4a293576c62,food,맛집,https://blog.naver.com/dgpfud1/224301954737
b1ba493a9d5244ce,food,맛집,https://blog.naver.com/m_aa7_m/224301955265
d88032d5ad6742cc,food,맛집,https://blog.naver.com/gksgpals920115/224301954699
2bcc553deceaa48c,food,맛집,https://blog.naver.com/k_khhh/224301954880
6afa01216aa2229e,food,맛집,https://blog.naver.com/jyt2447/224301954927
3a71c6818703fa77,food,맛집,https://blog.naver.com/ui_ji_ni_/224301954749
03a16290ff55095d,food,맛집,https://blog.naver.com/sgjjang94/224301955368
b163b4a293576c62,food,맛집,https://blog.naver.com/dgpfud1/224301954737
d88032d5ad6742cc,food,맛집,https://blog.naver.com/gksgpals920115/224301954699
3d2f70b2cf390b5f,food,맛집,https://blog.naver.com/hxxzin/224301955318
a7c9de44be5bd404,food,맛집,https://blog.naver.com/jins0716/224301955062
f05b34624ddd4f29,food,맛집,https://blog.naver.com/happysunnyenglish/224301954700
e766f44c2985cef9,food,맛집,https://blog.naver.com/aoll8lloa/224301955515
d420878499133229,food,맛집,https://blog.naver.com/g1ass00/224301955150
b1ba493a9d5244ce,food,맛집,https://blog.naver.com/m_aa7_m/224301955265
efa69409a5a181c9,food,맛집,https://blog.naver.com/touristai/224301955419
dceec19db7b5d422,food,맛집,https://blog.naver.com/enjoyable_hyerm/224301955498
8794db8f2ce39921,food,맛집,https://blog.naver.com/busan_sinnam/224301954714
