rank,category,region,candidate_name,candidate_type,post_count,sample_titles,sample_links
2207,food,종로,서순라길에 위치한 베트남 음식 전문점을 소개,candidate,1,베트남 현지 느낌의 서순라길 맛집 대성성,https://blog.naver.com/hbjoy13/224295129418
2208,food,강남,서울 3대 순대국 오늘은 서울 3대 순대국 맛집,restaurant,1,선릉 맛집 농민백암순대 본점 내돈내산 후기 서울 3대 순대국...,https://blog.naver.com/tastyloopy/224301850765
2209,food,부산,서울 3대 순대국 오늘은 서울 3대 순대국 맛집,restaurant,1,선릉 맛집 농민백암순대 본점 내돈내산 후기 서울 3대 순대국...,https://blog.naver.com/tastyloopy/224301850765
2210,food,강남,서울 강남구 테헤란로 87길 46 오크우드호텔,travel_spot,1,[삼성동/코엑스 -오크우드 오크 레스토랑]9가지 무제한 와인과...,https://blog.naver.com/oktopblues/224300221407
2211,domestic_travel,인천,서울 경기 근교 당일치기 동인천 뚜벅이 여행,candidate,1,[인천] 서울 경기 근교 당일치기 동인천 뚜벅이 여행 코스 추천...,https://blog.naver.com/gkstnals66/224297768132
2212,domestic_travel,가평,서울 근교 여행 으로 인기 멀리 가기,candidate,1,6월 국내 여행 지 추천 ｜날씨 좋을 때 가기 좋은 국내 여행 ...,https://blog.naver.com/suhyupnffc/224299794773
2213,food,수원,서울 동대문 블루리본 카레 맛집 레스토랑,restaurant,1,서울 /동대문 블루리본 카레 맛집,https://blog.naver.com/stay-and-play/224301560258
2214,food,성수,서울 성동구 성수일로12길 44 위치 성수 카페,cafe,1,오픈런 후기｜웨이팅 전에 다녀온 신상 감자간식 맛집,https://blog.naver.com/ekhankim/224300847571
2215,food,성수,서울 성동구 N번째 방문 성수 햄버거 맛집,restaurant,1,[서울/성동구]N번째 방문 성수 햄버거 맛집 “보어드앤헝그리...,https://blog.naver.com/sunjukitty/224301812894
2216,domestic_travel,성수,서울 성동구 N번째 방문 성수 햄버거 맛집,restaurant,1,[서울/성동구]N번째 방문 성수 햄버거 맛집 “보어드앤헝그리...,https://blog.naver.com/sunjukitty/224301812894
2217,domestic_travel,성수,서울 성수 서울숲역 클리오 베이비 코숏 팝업스토어,popup,1,서울 성수 서울숲역 클리오 베이비 코숏 팝업스토어 본품...,https://blog.naver.com/gksk3232/224301922144
2218,food,성수,서울 성수향수공방 닷노트 원데이 클래스 공방,candidate,1,"서울 성수향수공방 닷노트, 원데이 클래스 공방 데이트 코스...",https://blog.naver.com/100sijin/224301935070
2219,domestic_travel,성수,서울 성수향수공방 닷노트 원데이 클래스 공방,candidate,1,"서울 성수향수공방 닷노트, 원데이 클래스 공방 데이트 코스...",https://blog.naver.com/100sijin/224301935070
2220,food,인천,서울 종로 병천유황오리 본점,candidate,1,부모님 모시고 가면 무조건 칭찬받는 훈제오리고기 맛집 4,https://blog.naver.com/am9-25/224296124269
2221,food,종로,서울 종로3가역 맛집,restaurant,1,서울 종로3가역 맛집 내돈내산 찐추천 리코 주말 일기,https://blog.naver.com/kyunchan0425/224301937194
2222,food,종로,서울 종로구 익선동 핫플 한옥카페 청수당 베이커리,cafe,1,서울 종로구 익선동 핫플 한옥카페 청수당 베이커리,https://blog.naver.com/journeyfromhere/224301569450
2223,food,강남,서울3대돈까스맛집,restaurant,1,맛집 :: ️ 원카츠 논현점,https://blog.naver.com/amy7623/224301542952
2224,food,부산,서울3대돈까스맛집,restaurant,1,맛집 :: ️ 원카츠 논현점,https://blog.naver.com/amy7623/224301542952
2225,food,종로,서울3대아인슈페너 맛집 시애틀커피,cafe,1,서울3대아인슈페너 맛집 시애틀커피하우스 종로3가점,https://blog.naver.com/skdud3758/224301690483
2226,domestic_travel,가평,서울근교 에서의 독채 풀빌라 경험은 정말 매,candidate,1,가평 서울근교 여행 가족과의 특별한 풀빌라 경험,https://blog.naver.com/cite263/224300566057
2227,domestic_travel,가평,서울근교 여행 가족과의 특별한 풀빌라,candidate,1,가평 서울근교 여행 가족과의 특별한 풀빌라 경험,https://blog.naver.com/cite263/224300566057
2228,domestic_travel,가평,서울근교 여행 가족과의 특별한 풀빌라 경험,candidate,1,가평 서울근교 여행 가족과의 특별한 풀빌라 경험,https://blog.naver.com/cite263/224300566057
2229,domestic_travel,가평,서울근교 여행 가평 고고다이노 키즈호텔,travel_spot,1,서울근교 여행 가평 고고다이노 키즈호텔 특가 예약(테마룸...,https://blog.naver.com/shy0917cjh/224300583214
2230,domestic_travel,가평,서울근교 여행 대가족과 함께한 특별한 풀빌라,candidate,1,가평 서울근교 여행 대가족과 함께한 특별한 풀빌라 체험,https://blog.naver.com/putda11032/224299569460
2231,domestic_travel,가평,서울근교 여행 대가족과의 특별한 추억 만들기,candidate,1,가평 서울근교 여행 대가족과의 특별한 추억 만들기,https://blog.naver.com/djidsaoja84/224297418435
2232,domestic_travel,가평,서울근교 여행 대가족이 함께한 독채 풀빌라,candidate,1,가평 서울근교 여행 대가족이 함께한 독채 풀빌라...,https://blog.naver.com/chief14811/224295495293
2233,domestic_travel,가평,서울근교꽃축제,attraction,1,2026 자라섬 꽃페스타 가평 꽃축제 후기 (입장료·주차...,https://blog.naver.com/mmmmbin/224300575415
2234,domestic_travel,가평,서울근교여행,candidate,1,경기 가평 서울근교여행 달빛정원글램핑앤카라반,https://blog.naver.com/charmingtry/224296974581
2235,domestic_travel,가평,서울근교여행 달빛정원글램핑앤카라반 경기 가평,candidate,1,경기 가평 서울근교여행 달빛정원글램핑앤카라반,https://blog.naver.com/charmingtry/224296974581
2236,domestic_travel,가평,서울근교여행 달빛정원글램핑앤카라반 빽찌입니다,candidate,1,달빛정원 (장성군 삼계면),https://dumbndumber.co.kr/100775927
2237,food,종로,서울레스토랑,restaurant,1,정통 스위스 가정집 라 스위스 서촌 내돈내산 솔직후기,https://blog.naver.com/yejin4752/224301062190
2238,food,성수,서울맛집 위치 성수 서울맛집 은 뚝도시장,restaurant,1,성수 뚝도시장 서울맛집 내돈내산 후기,https://blog.naver.com/reviewkong/224300749417
2239,domestic_travel,성수,서울맛집 위치 성수 서울맛집 은 뚝도시장,restaurant,1,성수 뚝도시장 서울맛집 내돈내산 후기,https://blog.naver.com/reviewkong/224300749417
2240,domestic_travel,성수,서울무료전시,attraction,1,성수 말고 조용히 놀 곳 찾는다면? 서울 전시·실내 행사 5곳 ️,https://blog.naver.com/minsuh0526/224301712036
2241,domestic_travel,제주,서울무료전시,attraction,1,print bakery x 왈종미술관 에디션 런칭 전시 <제주 생활의...,https://blog.naver.com/hootooteee/224301878991
2242,food,성수,서울베이커리,cafe,1,성수빵지순례 [성수베이킹스튜디오] 바게트치아바타 맛집,https://blog.naver.com/alruddlaa/224301818635
2243,domestic_travel,성수,서울베이커리,cafe,1,성수빵지순례 [성수베이킹스튜디오] 바게트치아바타 맛집,https://blog.naver.com/alruddlaa/224301818635
2244,food,성수,서울숲 카페 진짜 튀르키예를 만날 수 있는,cafe,1,"[성수/서울숲 카페] 진짜 튀르키예를 만날 수 있는 곳, 안탭리...",https://blog.naver.com/sense_chae/224301725755
2245,domestic_travel,성수,서울숲역,candidate,1,서울 성수 서울숲역 클리오 베이비 코숏 팝업스토어 본품...,https://blog.naver.com/gksk3232/224301922144
2246,domestic_travel,성수,서울숲역 클리오 베이비 코숏 팝업스토어 본품,popup,1,서울 성수 서울숲역 클리오 베이비 코숏 팝업스토어 본품...,https://blog.naver.com/gksk3232/224301922144
2247,domestic_travel,성수,서울전시,attraction,1,성수 말고 조용히 놀 곳 찾는다면? 서울 전시·실내 행사 5곳 ️,https://blog.naver.com/minsuh0526/224301712036
